_id,count,pinyin_list,defn_list
艳,4,"[""yàn"",""yàn"",""yàn"",""yàn""]","[""/variant of 艷|艳[yan4]/"",""/colorful/splendid/gaudy/amorous/romantic/to envy/"",""/old variant of 豔|艳[yan4]/"",""/variant of 艷|艳[yan4]/""]"
鉴,4,"[""jiàn"",""jiàn"",""jiàn"",""jiàn""]","[""/variant of 鑑|鉴[jian4]/"",""/old variant of 鑒|鉴[jian4]/"",""/example/mirror/to view/reflection/to reflect/to inspect/to warn/(ancient bronze mirror)/"",""/variant of 鑑|鉴[jian4]/""]"
赞,4,"[""zàn"",""zàn"",""zàn"",""zàn""]","[""/variant of 讚|赞[zan4]/"",""/variant of 贊|赞[zan4]/to praise/"",""/variant of 贊|赞[zan4]/"",""/to patronize/to support/to praise/(Internet slang) to like (an online post on Facebook etc)/""]"
郁,4,"[""yù"",""yù"",""yù"",""yù""]","[""/variant of 鬱|郁[yu4]/"",""/surname Yu/elegant/"",""/old variant of 鬱|郁[yu4]/"",""/surname Yu/dense (growth)/melancholy/""]"
劫,4,"[""jié"",""jié"",""jié"",""jié""]","[""/variant of 劫[jie2]/"",""/variant of 劫[jie2]/"",""/variant of 劫[jie2]/"",""/to rob/to plunder/to seize by force/to coerce/calamity/abbr. for kalpa 劫波[jie2 bo1]/""]"
暖,4,"[""nuǎn"",""nuǎn"",""nuǎn"",""nuǎn""]","[""/old variant of 暖[nuan3]/"",""/warm/to warm/"",""/variant of 暖[nuan3]/"",""/variant of 暖[nuan3], warm/""]"
亩,4,"[""mǔ"",""mǔ"",""mǔ"",""mǔ""]","[""/old variant of 畝|亩[mu3]/"",""/old variant of 畝|亩[mu3]/"",""/classifier for fields/unit of area equal to one fifteenth of a hectare/"",""/old variant of 畝|亩[mu3]/""]"
效,4,"[""xiào"",""xiào"",""xiào"",""xiào""]","[""/variant of 傚|效[xiao4]/"",""/variant of 效[xiao4]/to imitate/"",""/variant of 效[xiao4]/"",""/effect/efficacy/to imitate/""]"
携,4,"[""xié"",""xié"",""xié"",""xié""]","[""/old variant of 攜|携[xie2]/"",""/old variant of 攜|携[xie2]/"",""/old variant of 攜|携[xie2]/"",""/to carry/to take along/to bring along/to hold (hands)/also pr. [xi1]/""]"
欢,4,"[""huān"",""huān"",""huān"",""huān""]","[""/variant of 歡|欢[huan1]/"",""/joyous/happy/pleased/"",""/hubbub/clamor/variant of 歡|欢[huan1]/"",""/a breed of horse/variant of 歡|欢[huan1]/""]"
酬,4,"[""chóu"",""chóu"",""chóu"",""chóu""]","[""/old variant of 酬[chou2]/"",""/variant of 酬[chou2]/"",""/to entertain/to repay/to return/to reward/to compensate/to reply/to answer/"",""/variant of 酬[chou2]/""]"
历,4,"[""lì"",""lì"",""lì"",""lì""]","[""/old variant of 曆|历[li4]/old variant of 歷|历[li4]/"",""/calendar/"",""/old variant of 歷|历[li4]/"",""/to experience/to undergo/to pass through/all/each/every/history/""]"
袅,4,"[""niǎo"",""niǎo"",""niǎo"",""niǎo""]","[""/delicate/graceful/"",""/delicate/graceful/"",""/delicate/graceful/"",""/variant of 裊|袅[niao3]/""]"
台,4,"[""tái"",""tái"",""tái"",""tái""]","[""/Taiwan (abbr.)/surname Tai/(classical) you (in letters)/variant of 臺|台[tai2]/"",""/desk/table/counter/"",""/Taiwan (abbr.)/platform/stage/terrace/stand/support/station/broadcasting station/classifier for vehicles or machines/"",""/typhoon/""]"
鲜,4,"[""xiān"",""xiān"",""xiān"",""xiān""]","[""/variant of 鮮|鲜[xian3]/"",""/variant of 尟|鲜[xian3]/"",""/fresh/bright (in color)/delicious/tasty/delicacy/aquatic foods/few/rare/"",""/fish/old variant of 鮮|鲜[xian1]/old variant of 鮮|鲜[xian3]/""]"
苏,4,"[""sū"",""sū"",""sū"",""sū""]","[""/see 囉囌|啰苏[luo1 su1]/"",""/variant of 蘇|苏[su1]/to revive/"",""/surname Su/abbr. for Soviet Union 蘇維埃|苏维埃 or 蘇聯|苏联/abbr. for Jiangsu province 江蘇|江苏/abbr. for Suzhou city 蘇州|苏州/Perilla frutescens (Chinese basil or wild red basil)/place name/to revive/used as phonetic in transliteration/"",""/old variant of 蘇|苏[su1]/""]"
獾,3,"[""huān"",""huān"",""huān""]","[""/variant of 獾[huan1]/"",""/badger/"",""/variant of 獾[huan1]/""]"
皋,3,"[""gāo"",""gāo"",""gāo""]","[""/bank/marsh/"",""/high riverbank/variant of 皋[gao1]/"",""/variant of 皋[gao1]/""]"
暗,3,"[""àn"",""àn"",""àn""]","[""/variant of 暗[an4]/"",""/dark/gloomy/hidden/secret/muddled/obscure/in the dark/"",""/to close (a door)/to eclipse/muddled/stupid/ignorant/variant of 暗[an4]/""]"
胡,3,"[""hú"",""hú"",""hú""]","[""/surname Hu/non-Han people, esp. from central Asia/reckless/outrageous/what?/why?/to complete a winning hand at mahjong (also written 和[hu2])/"",""/see 衚衕|胡同[hu2 tong4]/"",""/beard/mustache/whiskers/""]"
粗,3,"[""cū"",""cū"",""cū""]","[""/coarse/rough/thick (for cylindrical objects)/unfinished/vulgar/rude/crude/"",""/variant of 粗[cu1]/"",""/remote/distant/variant of 粗[cu1]/""]"
野,3,"[""yě"",""yě"",""yě""]","[""/old variant of 野[ye3]/"",""/erroneous variant of 野[ye3]/"",""/field/plain/open space/limit/boundary/rude/feral/""]"
周游,3,"[""zhōu yóu"",""zhōu yóu"",""zhōu yóu""]","[""/to travel around/to tour/to cross/"",""/variant of 周遊|周游, to tour/to travel around/"",""/variant of 周遊|周游, to tour/to travel around/""]"
同,3,"[""tóng"",""tóng"",""tóng""]","[""/(used in given names)/variant of 同[tong2]/"",""/like/same/similar/together/alike/with/"",""/see 衚衕|胡同[hu2 tong4]/""]"
糠,3,"[""kāng"",""kāng"",""kāng""]","[""/variant of 糠[kang1]/"",""/old variant of 糠[kang1]/"",""/husk/(of a radish etc) spongy (and therefore unappetising)/""]"
焊,3,"[""hàn"",""hàn"",""hàn""]","[""/to weld/to solder/"",""/variant of 焊[han4]/"",""/variant of 焊[han4]/""]"
皓,3,"[""hào"",""hào"",""hào""]","[""/variant of 皓[hao4]/"",""/bright/luminous/white (esp. bright white teeth of youth or white hair of old age)/"",""/variant of 皓[hao4]/spotlessly white/""]"
戮,3,"[""lù"",""lù"",""lù""]","[""/to peel with a knife/old variant of 戮[lu4]/"",""/to join (forces)/variant of 戮[lu4]/"",""/to kill/""]"
楠,3,"[""nán"",""nán"",""nán""]","[""/variant of 楠[nan2]/"",""/variant of 楠[nan2]/"",""/Machilus nanmu/Chinese cedar/Chinese giant redwood/""]"
凄,3,"[""qī"",""qī"",""qī""]","[""/intense cold/frigid/dismal/grim/bleak/sad/mournful/also written 淒|凄[qi1]/"",""/variant of 淒|凄[qi1]/sad/mournful/"",""/intense cold/frigid/dismal/grim/bleak/sad/mournful/""]"
颓,3,"[""túi"",""túi"",""túi""]","[""/variant of 頹|颓[tui2]/"",""/to crumble/to collapse/to decline/to decay/decadent/dejected/dispirited/balding/"",""/variant of 頹|颓[tui2]/""]"
喂,3,"[""wèi"",""wèi"",""wèi""]","[""/hello (when answering the phone)/hey/to feed (an animal, baby, invalid etc)/"",""/variant of 餵|喂[wei4]/"",""/to feed/""]"
璃,3,"[""lí"",""lí"",""lí""]","[""/(phonetic character used in transliteration of foreign names)/Taiwan pr. [li4]/variant of 璃[li2]/"",""/colored glaze/glass/"",""/variant of 璃[li2]/""]"
恿,3,"[""yǒng"",""yǒng"",""yǒng""]","[""/to urge/to incite/"",""/old variant of 恿[yong3]/"",""/old variant of 恿[yong3]/""]"
奶,3,"[""nǎi"",""nǎi"",""nǎi""]","[""/breast/milk/to breastfeed/"",""/variant of 嬭|奶[nai3]/"",""/mother/variant of 奶[nai3]/""]"
剃,3,"[""tì"",""tì"",""tì""]","[""/to shave/"",""/shave/to weed/"",""/variant of 剃[ti4]/""]"
德,3,"[""dé"",""dé"",""dé""]","[""/Germany/German/abbr. for 德國|德国[De2 guo2]/virtue/goodness/morality/ethics/kindness/favor/character/kind/"",""/variant of 德[de2]/"",""/variant of 德[de2]/""]"
琉,3,"[""líu"",""líu"",""líu""]","[""/precious stone/"",""/old variant of 琉[liu2]/"",""/old variant of 琉[liu2]/""]"
啖,3,"[""dàn"",""dàn"",""dàn""]","[""/to eat/to taste/to entice (using bait)/"",""/variant of 啖[dan4]/"",""/variant of 啖[dan4]/""]"
镰,3,"[""lián"",""lián"",""lián""]","[""/old variant of 鐮|镰[lian2]/"",""/variant of 鐮|镰[lian2]/"",""/scythe/sickle/""]"
卯,3,"[""mǎo"",""mǎo"",""mǎo""]","[""/mortise (slot cut into wood to receive a tenon)/4th earthly branch: 5-7 a.m., 2nd solar month (6th March-4th April), year of the Rabbit/ancient Chinese compass point: 90° (east)/variant of 鉚|铆[mao3]/to exert one's strength/"",""/variant of 卯[mao3]/"",""/old variant of 卯[mao3]/""]"
衔,3,"[""xián"",""xián"",""xián""]","[""/variant of 銜|衔[xian2]/"",""/variant of 銜|衔[xian2]/"",""/bit (of a bridle)/to hold in the mouth/to harbor (feelings)/to link/to accept/rank/title/""]"
札,3,"[""zhá"",""zhá"",""zhá""]","[""/variant of 札[zha2]/"",""/variant of 札[zha2]/"",""/thin piece of wood used a writing tablet (in ancient China)/a kind of official document (in former times)/letter/note/plague/""]"
腊,3,"[""là"",""là"",""là""]","[""/dried meat/also pr. [xi2]/"",""/old variant of 臘|腊[la4]/12th lunar month/"",""/12th lunar month/preserved (meat, fish etc)/""]"
哄,3,"[""hōng"",""hōng"",""hōng""]","[""/roar of laughter (onom.)/hubbub/to roar (as a crowd)/to deceive/to coax/to amuse (a child)/"",""/variant of 鬨|哄[hong4]/"",""/tumult/uproar/commotion/disturbance/""]"
鬃,3,"[""zōng"",""zōng"",""zōng""]","[""/variant of 鬃[zong1]/"",""/bristles/horse's mane/"",""/disheveled hair/horse's mane/""]"
据,3,"[""jù"",""jù"",""jù""]","[""/variant of 據|据[ju4]/"",""/see 拮据[jie2 ju1]/variant of 據|据[ju4]/"",""/according to/to act in accordance with/to depend on/to seize/to occupy/""]"
寇,3,"[""kòu"",""kòu"",""kòu""]","[""/old variant of 寇[kou4]/"",""/old variant of 寇[kou4]/"",""/to invade/to plunder/bandit/foe/enemy/""]"
斫,3,"[""zhuó"",""zhuó"",""zhuó""]","[""/to chop/to hack/to carve wood/"",""/to chop/to carve wood/"",""/variant of 斲|斫[zhuo2]/""]"
升,3,"[""shēng"",""shēng"",""shēng""]","[""/to ascend/to rise to the rank of/to promote/to hoist/liter/measure for dry grain equal to one-tenth dou 斗[dou3]/"",""/variant of 升[sheng1]/to ascend/to rise in rank/"",""/variant of 升[sheng1]/""]"
赣,3,"[""gàn"",""gàn"",""gàn""]","[""/variant of 贛|赣[Gan4]/"",""/variant of 贛|赣[Gan4]/"",""/abbr. for Jiangxi Province 江西省[Jiang1 xi1 Sheng3]/Gan River in Jiangxi Province 江西省[Jiang1 xi1 Sheng3]/""]"
憔,3,"[""qiáo"",""qiáo"",""qiáo""]","[""/haggard/"",""/old variant of 憔[qiao2]/"",""/variant of 憔[qiao2]/""]"
佛,3,"[""fó"",""fó"",""fó""]","[""/Buddha/Buddhism/"",""/seemingly/"",""/(female) head ornament/variant of 彿|佛[fu2]/""]"
秋,3,"[""qīu"",""qīu"",""qīu""]","[""/surname Qiu/autumn/fall/harvest time/"",""/old variant of 秋[qiu1]/"",""/see 鞦韆|秋千[qiu1 qian1]/""]"
蜂,3,"[""fēng"",""fēng"",""fēng""]","[""/variant of 蜂[feng1]/"",""/bee/wasp/"",""/old variant of 蜂[feng1]/""]"
仑,3,"[""lún"",""lún"",""lún""]","[""/to arrange/"",""/variant of 崙|仑[lun2]/"",""/Kunlun (Karakorum) mountain range in Xinjiang/""]"
雕,3,"[""diāo"",""diāo"",""diāo""]","[""/variant of 雕[diao1], to engrave/"",""/to carve/to engrave/shrewd/bird of prey/"",""/bird of prey/""]"
尝,3,"[""cháng"",""cháng"",""cháng""]","[""/to taste/to try/to experience/already/ever/once/"",""/variant of 嘗|尝[chang2]/to taste/to experience/"",""/old variant of 嘗|尝[chang2]/""]"
乃,3,"[""nǎi"",""nǎi"",""nǎi""]","[""/to be/thus/so/therefore/then/only/thereupon/"",""/variant of 乃[nai3]/"",""/variant of 乃[nai3]/""]"
迹,3,"[""jī"",""jī"",""jī""]","[""/footprint/mark/trace/vestige/sign/indication/Taiwan pr. [ji1]/"",""/variant of 跡|迹[ji4]/"",""/variant of 跡|迹[ji4]/""]"
创,3,"[""chuàng"",""chuàng"",""chuàng""]","[""/variant of 創|创[chuang4]/"",""/variant of 創|创[chuang4]/"",""/a wound/cut/injury/trauma/to begin/to initiate/to inaugurate/to start/to create/""]"
最,3,"[""zùi"",""zùi"",""zùi""]","[""/variant of 最[zui4]/"",""/old variant of 最[zui4]/"",""/most/the most/-est (superlative suffix)/""]"
宁,3,"[""níng"",""níng"",""níng""]","[""/old variant of 寧|宁[ning4]/"",""/abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區|宁夏回族自治区[Ning2 xia4 Hui2 zu2 Zi4 zhi4 qu1]/abbr. for Nanjing 南京[Nan2 jing1]/surname Ning/peaceful/to pacify/to visit (one's parents etc)/would rather/to prefer/how (emphatic)/Taiwan pr. [ning2]/"",""/variant of 寧|宁[ning2]/""]"
杯,3,"[""bēi"",""bēi"",""bēi""]","[""/cup/trophy cup/classifier for certain containers of liquids: glass, cup/"",""/variant of 杯[bei1]/"",""/variant of 杯[bei1]/trophy cup/classifier for certain containers of liquids: glass, cup/""]"
并,3,"[""bìng"",""bìng"",""bìng""]","[""/and/furthermore/also/together with/(not) at all/simultaneously/to combine/to join/to merge/"",""/to combine/to amalgamate/"",""/variant of 並|并[bing4]/""]"
帆,3,"[""fān"",""fān"",""fān""]","[""/variant of 帆[fan1]/"",""/sail/Taiwan pr. [fan2], except 帆布[fan1 bu4] canvas/"",""/to gallop/Taiwan pr. [fan2]/variant of 帆[fan1]/""]"
奔,3,"[""bēn"",""bēn"",""bēn""]","[""/to hurry/to rush/to run quickly/to elope/to go to/to head for/towards/"",""/(used in given names)/variant of 奔[ben1]/"",""/variant of 奔[ben1]/variant of 奔[ben4]/""]"
复,3,"[""fù"",""fù"",""fù""]","[""/to go and return/to return/to resume/to return to a normal or original state/to repeat/again/to recover/to restore/to turn over/to reply/to answer/to reply to a letter/to retaliate/to carry out/"",""/to repeat/to double/to overlap/complex (not simple)/compound/composite/double/diplo-/duplicate/overlapping/to duplicate/"",""/variant of 復|复[fu4]/to reply to a letter/""]"
匆,3,"[""cōng"",""cōng"",""cōng""]","[""/hurried/hasty/"",""/variant of 匆[cong1]/"",""/variant of 匆[cong1]/""]"
糯,3,"[""nuò"",""nuò"",""nuò""]","[""/variant of 糯[nuo4]/"",""/variant of 糯[nuo4]/"",""/glutinous rice/sticky rice/""]"
回,3,"[""húi"",""húi"",""húi""]","[""/to circle/to go back/to turn around/to answer/to return/to revolve/Hui ethnic group (Chinese Muslims)/time/classifier for acts of a play/section or chapter (of a classic book)/"",""/to curve/to return/to revolve/"",""/variant of 迴|回[hui2]/""]"
以,3,"[""yǐ"",""yǐ"",""yǐ""]","[""/old variant of 以[yi3]/"",""/old variant of 以[yi3]/"",""/abbr. for Israel 以色列[Yi3 se4 lie4]/to use/by means of/according to/in order to/because of/at (a certain date or place)/""]"
戚,3,"[""qī"",""qī"",""qī""]","[""/variant of 戚[qi1]/grief/sorrow/"",""/variant of 慼|戚[qi1]/"",""/surname Qi/relative/parent/grief/sorrow/battle-axe/""]"
裸,3,"[""luǒ"",""luǒ"",""luǒ""]","[""/variant of 裸[luo3]/"",""/naked/"",""/variant of 裸[luo3]/""]"
乾,3,"[""gān"",""gān"",""gān""]","[""/old variant of 乾[qian2]/"",""/surname Qian/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven/male principle/☰/ancient Chinese compass point: 315° (northwest)/"",""/variant of 乾[qian2]/""]"
韧,3,"[""rèn"",""rèn"",""rèn""]","[""/variant of 韌|韧[ren4]/"",""/old variant of 韌|韧[ren4]/"",""/annealed/pliable but strong/tough/tenacious/""]"
向,3,"[""xiàng"",""xiàng"",""xiàng""]","[""/surname Xiang/towards/to face/to turn towards/direction/to support/to side with/shortly before/formerly/always/all along/(suffix) suitable for .../oriented to .../"",""/to tend toward/to guide/variant of 向[xiang4]/"",""/variant of 向[xiang4]/direction/orientation/to face/to turn toward/to/towards/shortly before/formerly/""]"
泛,3,"[""fàn"",""fàn"",""fàn""]","[""/variant of 泛[fan4]/"",""/variant of 泛[fan4]/"",""/to float/to be suffused with/general/extensive/non-specific/flood/pan- (prefix)/""]"
咱,3,"[""zán"",""zán"",""zán""]","[""/variant of 咱[zan2]/"",""/see 咱[zan2]/I or me/we (including both the speaker and the person spoken to)/"",""/variant of 咱[zan2]/""]"
扎,3,"[""zhā"",""zhā"",""zhā""]","[""/to prick/to run or stick (a needle etc) into/jug (a classifier for liquids such as beer)/penetrating (as of cold)/struggle/"",""/variant of 紮|扎[za1]/variant of 紮|扎[zha1]/"",""/to tie/to bind/classifier for flowers, banknotes etc: bundle/Taiwan pr. [zha2]/""]"
法,3,"[""fǎ"",""fǎ"",""fǎ""]","[""/variant of 法[fa3]/"",""/France/French/abbr. for 法國|法国[Fa3 guo2]/Taiwan pr. [Fa4]/law/method/way/to emulate/(Buddhism) dharma/(abbr. for 法家[Fa3 jia1]) the Legalists/(physics) farad (abbr. for 法拉[fa3 la1])/"",""/old variant of 法[fa3]/law/""]"
稚,3,"[""zhì"",""zhì"",""zhì""]","[""/infantile/young/"",""/old variant of 稚[zhi4]/"",""/variant of 稚[zhi4]/""]"
昆,3,"[""kūn"",""kūn"",""kūn""]","[""/variant of 崑|昆[kun1]/"",""/used in place names, notably Kunlun Mountains 崑崙|昆仑[Kun1 lun2]/(also used for transliteration)/"",""/descendant/elder brother/a style of Chinese poetry/""]"
廉,3,"[""lián"",""lián"",""lián""]","[""/old variant of 廉[lian2]/"",""/old variant of 廉[lian2]/"",""/surname Lian/incorruptible/honest/inexpensive/to investigate (old)/side wall of a traditional Chinese house (old)/""]"
侄,3,"[""zhí"",""zhí"",""zhí""]","[""/variant of 姪|侄[zhi2]/"",""/variant of 姪|侄[zhi2]/"",""/nephew by the male line/""]"
猿,3,"[""yuán"",""yuán"",""yuán""]","[""/variant of 猿[yuan2]/"",""/ape/"",""/variant of 猿[yuan2]/""]"
蚊,3,"[""wén"",""wén"",""wén""]","[""/mosquito/"",""/old variant of 蚊[wen2]/"",""/old variant of 蚊[wen2]/""]"
鹅,3,"[""é"",""é"",""é""]","[""/variant of 鵝|鹅[e2]/"",""/goose/CL:隻|只[zhi1]/"",""/variant of 鵝|鹅[e2]/""]"
勋,3,"[""xūn"",""xūn"",""xūn""]","[""/medal/merit/"",""/variant of 勛|勋[xun1]/"",""/variant of 勛|勋[xun1]/""]"
柜台,3,"[""gùi tái"",""gùi tái"",""gùi tái""]","[""/variant of 櫃檯|柜台[gui4 tai2]/"",""/sales counter/front desk/bar/(of markets, medicines etc) OTC (over-the-counter)/"",""/variant of 櫃檯|柜台[gui4 tai2]/""]"
迥,3,"[""jiǒng"",""jiǒng"",""jiǒng""]","[""/variant of 迥[jiong3]/"",""/distant/"",""/old variant of 迥[jiong3]/""]"
花,3,"[""huā"",""huā"",""huā""]","[""/surname Hua/flower/blossom/CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]/fancy pattern/florid/to spend (money, time)/(coll.) lecherous/lustful/"",""/old variant of 花[hua1]/"",""/variant of 花[hua1]/flower/blossom/also pr. [wei3]/""]"
柳,3,"[""lǐu"",""lǐu"",""lǐu""]","[""/surname Liu/willow/"",""/old variant of 柳[liu3]/"",""/old variant of 柳[liu3]/""]"
丐,3,"[""gài"",""gài"",""gài""]","[""/to beg for alms/beggar/"",""/variant of 丐[gai4]/"",""/variant of 丐[gai4]/""]"
糊,3,"[""hú"",""hú"",""hú""]","[""/variant of 糊[hu2]/"",""/muddled/paste/scorched/paste/cream/"",""/congee/making a living/""]"
留,3,"[""líu"",""líu"",""líu""]","[""/old variant of 留[liu2]/"",""/to leave (a message etc)/to retain/to stay/to remain/to keep/to preserve/"",""/old variant of 留[liu2]/""]"
和,3,"[""hé"",""hé"",""hé""]","[""/old variant of 和[he2]/"",""/surname He/Japanese (food, clothes etc)/and/together with/with/sum/union/peace/harmony/Taiwan pr. [han4] when it means \""and\"" or \""with\""/to compose a poem in reply (to sb's poem) using the same rhyme sequence/to join in the singing/to chime in with others/to complete a set in mahjong or playing cards/to combine a powdery substance (flour, plaster etc) with water/Taiwan pr. [huo4]/to mix (ingredients) together/to blend/classifier for rinses of clothes/classifier for boilings of medicinal herbs/"",""/old variant of 和[he2]/harmonious/""]"
仇,3,"[""chóu"",""chóu"",""chóu""]","[""/surname Qiu/hatred/animosity/enmity/foe/enemy/to feel animosity toward (the wealthy, foreigners etc)/spouse/companion/"",""/variant of 仇[chou2]/"",""/variant of 仇[chou2]/""]"
瓮,3,"[""wèng"",""wèng"",""wèng""]","[""/variant of 甕|瓮[weng4]/earthen jar/urn/"",""/surname Weng/pottery container for water, wine etc/"",""/variant of 甕|瓮[weng4]/""]"
肴,3,"[""yáo"",""yáo"",""yáo""]","[""/variant of 肴[yao2]/"",""/meat dishes/mixed viands/"",""/variant of 肴[yao2]/""]"
帮,3,"[""bāng"",""bāng"",""bāng""]","[""/old variant of 幫|帮[bang1]/"",""/old variant of 幫|帮[bang1]/"",""/to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/upper (of a shoe)/group/gang/clique/party/secret society/""]"
签,3,"[""qiān"",""qiān"",""qiān""]","[""/to sign one's name/visa/variant of 籤|签[qian1]/"",""/Japanese variant of 籤|签[qian1]/"",""/inscribed bamboo stick (used in divination, gambling, drawing lots etc)/small wood sliver/label/tag/""]"
面,3,"[""miàn"",""miàn"",""miàn""]","[""/face/side/surface/aspect/top/classifier for objects with flat surfaces such as drums, mirrors, flags etc/"",""/variant of 麵|面[mian4]/"",""/flour/noodles/(of food) soft (not crunchy)/(slang) (of a person) ineffectual/spineless/""]"
策,3,"[""cè"",""cè"",""cè""]","[""/surname Ce/policy/plan/scheme/bamboo slip for writing (old)/to whip (a horse)/to encourage/riding crop with sharp spines (old)/essay written for the imperial examinations (old)/upward horizontal stroke in calligraphy/"",""/variant of 策[ce4]/"",""/variant of 策[ce4]/""]"
叠,3,"[""dié"",""dié"",""dié""]","[""/variant of 疊|叠[die2]/"",""/variant of 疊|叠[die2]/"",""/to fold/to fold over in layers/to furl/to layer/to pile up/to repeat/to duplicate/""]"
碰,3,"[""pèng"",""pèng"",""pèng""]","[""/variant of 碰[peng4]/"",""/to touch/to meet with/to bump/"",""/old variant of 碰[peng4]/""]"
克,3,"[""kè"",""kè"",""kè""]","[""/abbr. for 克羅地亞|克罗地亚[Ke4 luo2 di4 ya4], Croatia/(Tw) abbr. for 克羅埃西亞|克罗埃西亚[Ke4 luo2 ai1 xi1 ya4], Croatia/to be able to/to subdue/to restrain/to overcome/gram/Tibetan unit of land area, about 6 ares/"",""/Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God/variant of 克[ke4]/to subdue/to overthrow/to restrain/"",""/variant of 剋|克[ke4]/""]"
梅,3,"[""méi"",""méi"",""méi""]","[""/surname Mei/plum/plum flower/Japanese apricot (Prunus mume)/"",""/variant of 梅[mei2]/"",""/old variant of 梅[mei2]/""]"
弄,3,"[""nòng"",""nòng"",""nòng""]","[""/lane/alley/to do/to manage/to handle/to play with/to fool with/to mess with/to fix/to toy with/"",""/old variant of 弄[nong4]/"",""/variant of 弄[long4]/""]"
脉,3,"[""mài"",""mài"",""mài""]","[""/old variant of 脈|脉[mai4]/"",""/arteries and veins/vein (on a leaf, insect wing etc)/see 脈脈|脉脉[mo4 mo4]/"",""/variant of 脈|脉[mai4]/""]"
